code_uic;ville;villegare;region;departement;lat;lng
87317529;Le Tréport - Mers-les-Bains;LE TREPORT - MERS;REGION PICARDIE;Seine-Maritime;50.0628592;1.3763738
87317404;Rue;RUE GARE;REGION PICARDIE;Somme;50.27308;1.67570
87317180;Brimeux;BRIMEUX HALTE;REGION NORD PAS DE CALAIS;Pas-de-Calais;50.4470409;1.8313826
87317115;Pont de Briques;PONT DE BRIQUES P HALTE;REGION NORD PAS DE CALAIS;Pas-de-Calais;50.6828164;1.6268038
87317057;Rang-du-Fliers - Verton - Berck;RANG DU FLIERS VERTON P GARE;REGION NORD PAS DE CALAIS;Pas-de-Calais;50.41579;1.64805
87316760;Eu-la-Mouillette;;;;;
87316745;Acheux - Franleu;;;Somme;50.0826021;1.6574207
87316687;Le Haut Banc;LE HAUT BANC P HALTE;REGION NORD PAS DE CALAIS;Pas-de-Calais;50.8163364;1.7722209
87316208;Wacquemoulin;WACQUEMOULIN HALTE;REGION DE PARIS-NORD;Oise;49.5032575;2.6116581
87316125;Thézy-Glimont;THEZY GLIMONT GARE;REGION PICARDIE;Somme;49.8118528;2.435931
87316042;Lamotte-Brebières;;;;;
87315044;Daours;DAOURS HALTE;REGION PICARDIE;Somme;49.899267;2.4590533
87313833;Formerie;FORMERIE P GARE;REGION PICARDIE;Oise;49.6542178;1.7229081
87313734;Grandvilliers;GRANDVILLIERS P GARE;REGION PICARDIE;Oise;49.6593779;1.9384836
87313585;Hermes - Berthecourt;HERMES BERTHECOURT P GARE;REGION DE PARIS-NORD;Oise;49.3544055;2.2416554
87313569;Balagny Saint-Épin;BALAGNY ST EPIN GARE;REGION DE PARIS-NORD;Oise;49.2942448;2.3441977
87313403;Remy;REMY (OISE) GARE;REGION DE PARIS-NORD;Oise;49.4331452;2.7059434
87313320;Moreuil;MOREUIL GARE;REGION PICARDIE;Somme;49.77699;2.47582
87313288;Saint-Remy-en-l'Eau;SAINT REMY EN L EAU GARE;REGION DE PARIS-NORD;Oise;49.4681726;2.4258609
87313130;Pont-Remy;PONT REMY GARE;REGION PICARDIE;Somme;50.0472341;1.8988404
87313106;Picquigny;PICQUIGNY GARE;REGION PICARDIE;Somme;49.9461557;2.1432765
87297150;Voyenne;VOYENNE GARE;REGION PICARDIE;Aisne;49.7260708;3.7202555
87297143;Dercy - Froidmont;DERCY FROIDMONT HALTE;REGION PICARDIE;Aisne;49.7025404;3.6918473
87297101;La Neuville-sous-Laon;;;;49.57068;3.59646
87296178;Clacy - Mons;CLACY MONS GARE;REGION PICARDIE;Aisne;49.5439229;3.5766816
87296152;Crépy - Couvron;CREPY COUVRON GARE;REGION PICARDIE;Aisne;49.6233401;3.5167165
87296129;Vervins;VERVINS GARE;REGION PICARDIE;Aisne;49.8299236;3.8936313
87296095;Marle sur Serre;MARLE SUR SERRE GARE;REGION PICARDIE;Aisne;49.747192;3.7695801
87295667;Ors;ORS HALTE;REGION NORD PAS DE CALAIS;Nord;50.1031718;3.626754
87295543;Sous le Bois;SOUS LE BOIS P HALTE;REGION NORD PAS DE CALAIS;Nord;50.2655833;3.93961
87295535;Louvroil;SOUS LE BOIS P HALTE;REGION NORD PAS DE CALAIS;Nord;50.2683469;3.9535768
87287128;Mont de Terre;CHAMP DE MARS P GARE;REGION NORD PAS DE CALAIS;Nord;50.6176672;3.0966031
